14524;    Zwickau, Landkreis;73;14;64;14;62;14;34;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14;33;14
146;  Dresden, NUTS 2-Region;324;63;312;63;304;63;227;62;228;62;223;62;220;62;214;62;212;61;210;61;210;61;207;61;204;61;203;61;202;61;198;61;193;59;190;59;182;59;178;59;178;59;177;59;176;59;176;59;175;59;175;59;175;59;175;59;175;59;175;59
14612;    Dresden, Stadt;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14625;    Bautzen, Landkreis;96;15;94;15;91;15;70;15;71;15;68;15;67;15;67;15;67;15;66;15;66;15;64;15;64;15;64;15;63;15;63;15;61;15;60;15;59;15;59;15;59;15;59;15;58;15;58;15;57;15;57;15;57;15;57;15;57;15;57;15
14626;    G�rlitz, Landkreis;88;15;87;15;85;15;68;15;68;15;68;15;67;15;65;15;65;15;64;15;64;15;63;15;61;15;61;15;61;15;59;15;57;14;57;14;54;14;53;14;53;14;53;14;53;14;53;14;53;14;53;14;53;14;53;14;53;14;53;14
14627;    Mei�en, Landkreis;67;10;61;10;59;10;40;10;40;10;40;10;40;10;37;10;36;10;36;10;36;10;36;10;36;10;36;10;36;10;34;10;34;10;33;10;31;10;29;10;29;10;28;10;28;10;28;10;28;10;28;10;28;10;28;10;28;10;28;10
14628;    S�chsische Schweiz-Osterzgebirge, Landkreis;72;22;69;22;68;22;48;21;48;21;46;21;45;21;44;21;43;20;43;20;43;20;43;20;42;20;41;20;41;20;41;20;40;19;39;19;37;19;36;19;36;19;36;19;36;19;36;19;36;19;36;19;36;19;36;19;36;19;36;19
147;  Leipzig, NUTS 2-Region;164;35;144;35;137;35;89;35;88;35;89;35;89;35;89;35;88;35;85;35;83;35;82;35;81;35;80;35;78;35;78;35;72;34;69;33;65;32;65;32;64;32;63;32;63;32;61;31;61;31;61;31;61;31;61;31;61;31;61;31
14713;    Leipzig, Stadt;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14729;    Leipzig, Landkreis;96;24;82;24;76;24;48;22;47;22;48;22;48;22;48;22;47;22;46;22;44;22;43;22;43;22;42;22;41;22;41;22;37;21;34;20;34;20;34;20;33;20;32;20;32;20;30;19;30;19;30;19;30;19;30;19;30;19;30;19
14730;    Nordsachsen, Landkreis;67;10;61;10;60;10;40;12;40;12;40;12;40;12;40;12;40;12;38;12;38;12;38;12;37;12;37;12;36;12;36;12;34;12;34;12;30;11;30;11;30;11;30;11;30;11;30;11;30;11;30;11;30;11;30;11;30;11;30;11
__________
� Statistisches Landesamt des Freistaates Sachsen, Kamenz, 2024 
Stand: 09.09.2024 / 14:28:12
